14,Blackman, Kirsty,F,2015-05-07T00:00:00
20,Flynn, Stephen,M,2019-12-12T00:00:00
36,Qaisar, Ms Anum,F,2021-05-13T00:00:00
59,Doogan, Dave,M,2019-12-12T00:00:00
67,O'Hara, Brendan,M,2015-05-07T00:00:00
99,Dorans, Allan,M,2019-12-12T00:00:00
110,Duguid, David,M,2017-06-08T00:00:00
216,Lamont, John,M,2017-06-08T00:00:00
543,Stone, Jamie,M,2017-06-08T00:00:00
614,Whitford, Dr Philippa,F,2015-05-07T00:00:00
728,Bonnar, Steven,M,2019-12-12T00:00:00
804,McDonald, Stuart C,M,2015-05-07T00:00:00
911,Jack, Mr Alister,M,2017-06-08T00:00:00
914,Mundell, David,M,2005-05-05T00:00:00
922,Hosie, Stewart,M,2005-05-05T00:00:00
927,Law, Chris,M,2015-05-07T00:00:00
929,Chapman, Douglas,M,2015-05-07T00:00:00
965,Callaghan, Amy,F,2019-12-12T00:00:00
985,Cameron, Dr Lisa,F,2015-05-07T00:00:00
991,MacAskill, Kenny,M,2019-12-12T00:00:00
994,Oswald, Kirsten,F,2019-12-12T00:00:00
1035,Sheppard, Tommy,M,2015-05-07T00:00:00
1041,Brock, Deidre,F,2015-05-07T00:00:00
1047,Murray, Ian,M,2010-05-06T00:00:00
1048,Cherry, Joanna,F,2015-05-07T00:00:00
1054,Jardine, Christine,F,2017-06-08T00:00:00
1115,McNally, John,M,2015-05-07T00:00:00
1203,Thewliss, Alison,F,2015-05-07T00:00:00
1204,Linden, David,M,2017-06-08T00:00:00
1205,Grady, Patrick,M,2015-05-07T00:00:00
1206,McLaughlin, Anne,F,2019-12-12T00:00:00
1207,Monaghan, Carol,F,2015-05-07T00:00:00
1208,McDonald, Stewart Malcolm,M,2015-05-07T00:00:00
1209,Stephens, Chris,M,2015-05-07T00:00:00
1274,Grant, Peter,M,2015-05-07T00:00:00
1284,Thomson, Richard,M,2019-12-12T00:00:00
1555,Cowan, Ronnie,M,2015-05-07T00:00:00
1561,Hendry, Drew,M,2015-05-07T00:00:00
1624,Brown, Alan,M,2015-05-07T00:00:00
1661,Hanvey, Neale,M,2019-12-12T00:00:00
1678,Crawley, Angela,F,2015-05-07T00:00:00
1782,Day, Martyn,M,2015-05-07T00:00:00
1826,Bardell, Hannah,F,2015-05-07T00:00:00
1977,Thompson, Owen,M,2019-12-12T00:00:00
2004,Ross, Douglas,M,2017-06-08T00:00:00
2022,Fellows, Marion,F,2015-05-07T00:00:00
2025,MacNeil, Angus Brendan,M,2005-05-05T00:00:00
2104,Gibson, Patricia,F,2015-05-07T00:00:00
2135,Chamberlain, Wendy,F,2019-12-12T00:00:00
2234,Nicolson, John,M,2019-12-12T00:00:00
2256,Carmichael, Mr Alistair,M,2001-06-07T00:00:00
2285,Newlands, Gavin,M,2015-05-07T00:00:00
2286,Black, Mhairi,F,2015-05-07T00:00:00
2316,Wishart, Pete,M,2001-06-07T00:00:00
2456,Blackford, Ian,M,2015-05-07T00:00:00
2501,Ferrier, Margaret,F,2019-12-12T00:00:00
2784,Smith, Alyn,M,2019-12-12T00:00:00
3096,Bowie, Andrew,M,2017-06-08T00:00:00
3117,Docherty-Hughes, Martin,M,2015-05-07T00:00:00
3287,Kinnock, Stephen,M,2015-05-07T00:00:00
3288,Millar, Robin,M,2019-12-12T00:00:00
3289,Docherty, Leo,M,2017-06-08T00:00:00
3290,Morton, Wendy,F,2015-05-07T00:00:00
3291,Brady, Sir Graham,M,1997-05-01T00:00:00
3292,Tami, Mark,M,2001-06-07T00:00:00
3293,Mills, Nigel,M,2010-05-06T00:00:00
3294,Williams, Hywel,M,2001-06-07T00:00:00
